"codigo";"nome";"codigo_comissao";"dataInicio_comissao";"dataFim_comissao"
"4981";"Acir Gurgacz";"59";"2009-11-18";"2010-12-22"
"4981";"Acir Gurgacz";"2189";"2018-06-21";
"4981";"Acir Gurgacz";"1723";"2013-09-19";"2014-12-22"
"4981";"Acir Gurgacz";"2051";"2013-12-12";
"4981";"Acir Gurgacz";"1726";"2013-09-26";"2013-10-15"
"4981";"Acir Gurgacz";"1754";"2013-12-17";"2014-02-15"
"4981";"Acir Gurgacz";"1888";"2015-02-25";"2015-03-03"
"4981";"Acir Gurgacz";"2046";"2011-07-07";
"4981";"Acir Gurgacz";"2043";"2018-05-22";"2024-05-22"
"4981";"Acir Gurgacz";"2052";"2015-03-04";
"4981";"Acir Gurgacz";"2049";"2015-03-31";
"4981";"Acir Gurgacz";"1843";"2014-10-08";"2014-10-27"
"4981";"Acir Gurgacz";"2042";"2014-08-06";
"4981";"Acir Gurgacz";"1733";"2013-10-21";"2013-11-09"
"4981";"Acir Gurgacz";"2045";"2013-07-09";
"4981";"Acir Gurgacz";"1897";"2015-02-25";"2015-03-03"
"4981";"Acir Gurgacz";"2151";"2018-02-08";
"4981";"Acir Gurgacz";"1776";"2014-03-05";"2014-12-22"
"4981";"Acir Gurgacz";"1547";"2011-02-10";"2011-02-10"
"4981";"Acir Gurgacz";"2162";"2018-05-08";
"4981";"Acir Gurgacz";"2050";"2017-08-09";
"4981";"Acir Gurgacz";"1768";"2014-02-05";"2014-02-24"
"4981";"Acir Gurgacz";"1819";"2014-06-09";"2014-06-28"
"4981";"Acir Gurgacz";"2044";"2015-03-31";
"4981";"Acir Gurgacz";"2031";"2016-06-22";
"4981";"Acir Gurgacz";"2110";"2017-08-31";"2017-12-22"
"4981";"Acir Gurgacz";"2111";"2017-08-03";"2018-05-21"
"4981";"Acir Gurgacz";"445";"2017-05-30";
"4981";"Acir Gurgacz";"2109";"2017-08-02";"2017-09-19"
"4981";"Acir Gurgacz";"1908";"2017-03-13";"2017-03-28"
"4981";"Acir Gurgacz";"1916";"2015-04-09";
"4981";"Acir Gurgacz";"1916";"2015-04-08";"2015-04-09"
"4981";"Acir Gurgacz";"50";"2017-03-09";
"4981";"Acir Gurgacz";"1306";"2017-03-09";
"4981";"Acir Gurgacz";"1363";"2017-03-09";
"4981";"Acir Gurgacz";"59";"2017-03-09";
"4981";"Acir Gurgacz";"834";"2017-03-09";"2018-04-11"
"4981";"Acir Gurgacz";"54";"2017-03-09";"2017-06-07"
"4981";"Acir Gurgacz";"54";"2017-06-07";"2018-04-24"
"4981";"Acir Gurgacz";"1956";"2017-03-09";
"4981";"Acir Gurgacz";"1307";"2017-03-09";
"4981";"Acir Gurgacz";"47";"2017-03-09";"2018-06-25"
"4981";"Acir Gurgacz";"2147";"2017-11-28";
"4981";"Acir Gurgacz";"1664";"2017-03-29";"2018-02-28"
"4981";"Acir Gurgacz";"2016";"2016-04-25";"2016-08-04"
"4981";"Acir Gurgacz";"38";"2018-06-25";
"4981";"Acir Gurgacz";"38";"2017-06-19";"2018-06-25"
"4981";"Acir Gurgacz";"38";"2017-03-09";"2017-06-02"
"4981";"Acir Gurgacz";"1774";"2017-02-21";"2017-03-08"
"4981";"Acir Gurgacz";"2034";"2016-06-30";"2016-10-19"
"4981";"Acir Gurgacz";"1859";"2015-12-22";"2016-02-01"
"4981";"Acir Gurgacz";"445";"2015-06-02";"2017-02-03"
"4981";"Acir Gurgacz";"1701";"2015-08-26";"2016-03-29"
"4981";"Acir Gurgacz";"1625";"2015-08-26";"2016-03-29"
"4981";"Acir Gurgacz";"1951";"2015-08-26";"2016-06-30"
"4981";"Acir Gurgacz";"1901";"2015-03-18";"2016-05-27"
"4981";"Acir Gurgacz";"59";"2015-02-25";"2016-09-20"
"4981";"Acir Gurgacz";"40";"2016-03-09";"2016-09-21"
"4981";"Acir Gurgacz";"34";"2017-02-08";"2017-06-26"
"4981";"Acir Gurgacz";"34";"2015-02-25";"2016-09-13"
"4981";"Acir Gurgacz";"34";"2017-08-08";
"4981";"Acir Gurgacz";"38";"2015-07-02";"2016-03-01"
"4981";"Acir Gurgacz";"38";"2016-03-01";"2016-10-04"
"4981";"Acir Gurgacz";"1921";"2015-05-14";"2015-12-03"
"4981";"Acir Gurgacz";"1664";"2015-04-01";"2016-03-29"
"4981";"Acir Gurgacz";"1607";"2013-05-08";"2015-01-31"
"4981";"Acir Gurgacz";"1313";"2013-04-16";"2015-01-30"
"4981";"Acir Gurgacz";"1664";"2013-03-21";"2014-03-24"
"4981";"Acir Gurgacz";"1801";"2014-05-27";"2014-12-22"
"4981";"Acir Gurgacz";"1804";"2014-05-13";"2014-12-22"
"4981";"Acir Gurgacz";"1684";"2013-07-11";"2013-07-31"
"4981";"Acir Gurgacz";"1307";"2015-02-25";"2016-09-20"
"4981";"Acir Gurgacz";"50";"2015-03-24";"2016-03-01"
"4981";"Acir Gurgacz";"50";"2016-03-01";"2017-02-10"
"4981";"Acir Gurgacz";"1363";"2016-03-09";"2016-09-20"
"4981";"Acir Gurgacz";"1859";"2014-12-18";"2015-01-31"
"4981";"Acir Gurgacz";"1752";"2013-12-11";"2014-02-02"
"4981";"Acir Gurgacz";"1750";"2013-12-20";"2015-01-31"
"4981";"Acir Gurgacz";"1669";"2013-05-28";"2014-03-25"
"4981";"Acir Gurgacz";"1813";"2014-07-16";"2014-12-04"
"4981";"Acir Gurgacz";"1589";"2012-04-24";"2012-07-06"
