"codigo";"nome";"codigo_materia";"ano_materia";"tipo_materia";"partido"
"4981";"Acir Gurgacz";"131369";"2017";"PLS";"PDT"
"4981";"Acir Gurgacz";"133940";"2018";"PLC";"PDT"
"4981";"Acir Gurgacz";"106822";"2012";"PLS";"PDT"
"4981";"Acir Gurgacz";"106564";"2012";"PLS";"PDT"
"4981";"Acir Gurgacz";"133841";"2018";"MSF";"PDT"
"4981";"Acir Gurgacz";"133835";"2018";"MSF";"PDT"
"4981";"Acir Gurgacz";"123181";"2015";"PLS";"PDT"
"4981";"Acir Gurgacz";"113566";"2013";"PLS";"PDT"
"4981";"Acir Gurgacz";"131511";"2017";"PDS";"PDT"
"4981";"Acir Gurgacz";"133193";"2018";"MSF";"PDT"
"4981";"Acir Gurgacz";"130960";"2017";"PLS";"PDT"
"4981";"Acir Gurgacz";"133013";"2018";"MSF";"PDT"
"4981";"Acir Gurgacz";"131349";"2017";"PLS";"PDT"
"4981";"Acir Gurgacz";"120638";"2015";"PLS";"PDT"
"4981";"Acir Gurgacz";"131783";"2017";"PDS";"PDT"
"4981";"Acir Gurgacz";"131618";"2017";"SUG";"PDT"
"4981";"Acir Gurgacz";"129901";"2017";"SUG";"PDT"
"4981";"Acir Gurgacz";"130203";"2017";"SUG";"PDT"
"4981";"Acir Gurgacz";"124484";"2015";"PLS";"PDT"
"4981";"Acir Gurgacz";"123105";"2015";"PLS";"PDT"
"4981";"Acir Gurgacz";"131136";"2017";"PLS";"PDT"
"4981";"Acir Gurgacz";"131194";"2017";"SUG";"PDT"
"4981";"Acir Gurgacz";"130988";"2017";"MCN";"PDT"
"4981";"Acir Gurgacz";"127625";"2016";"PLS";"PDT"
"4981";"Acir Gurgacz";"118216";"2014";"ECD";"PDT"
"4981";"Acir Gurgacz";"100746";"2011";"PLS";"PDT"
"4981";"Acir Gurgacz";"101691";"2011";"PLS";"PDT"
"4981";"Acir Gurgacz";"130676";"2017";"MPV";"PDT"
"4981";"Acir Gurgacz";"128575";"2017";"MCN";"PDT"
"4981";"Acir Gurgacz";"129256";"2017";"MCN";"PDT"
"4981";"Acir Gurgacz";"130142";"2017";"MCN";"PDT"
"4981";"Acir Gurgacz";"130157";"2017";"AFC";"PDT"
